taxon	taxon rank	candidate	taxon author	synonyms	alternative names	remarks
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorodendrophyceae	class		Fritsch 1917		prasinophytes IV	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorodendrophyceae;Scherffelia	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorodendrophyceae;Tetraselmis	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorophyceae	class		Christensen 1994			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorophyceae;'CS lineage'						phylogenomics-based group; Chlamydomonadales, Sphaeropleales, and the AJT clade form a well-supported clade
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorophyceae;'CS lineage';Chlamydomonadales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorophyceae;'CS lineage';Sphaeropleales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorophyceae;'CS lineage';'AJT clade'						phylogenomics-based group; Ankyra, Jenufa, Treubaria, and related taxa
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorophyceae;'OCC lineage'						phylogenomics-based group; Chaetopeltidales, Chaetophorales, and Oedogoniales form a well-supported clade
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorophyceae;'OCC lineage';Chaetopeltidales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorophyceae;'OCC lineage';Chaetophorales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Chlorophyceae;'OCC lineage';Oedogoniales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Pedinophyceae	class		Fawley et al. in Adl et al. 2012			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Pedinophyceae;Marsupiomonadales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Pedinophyceae;Marsupiomonadales;Marsupiomonas	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Pedinophyceae;Marsupiomonadales;Protoeuglena	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Pedinophyceae;Marsupiomonadales;Resultomonas	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Pedinophyceae;Pedinomonadales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Pedinophyceae;Pedinomonadales;Chlorochytridion	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Pedinophyceae;Pedinomonadales;Pedinomonas	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Trebouxiophyceae	class		Friedl 1995			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Trebouxiophyceae;Chlorellales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Trebouxiophyceae;Ctenocladales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Trebouxiophyceae;Microthamniales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Trebouxiophyceae;Prasiolales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Trebouxiophyceae;'Watanabea clade'						18S-based group
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae	class		Mattox & Stewart 1984			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;Bryopsidales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;Cladophorales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;Dasycladales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;Scotinosphaerales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;Trentepohliales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;Ignatiales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;Oltmansiellopsidales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;'UU clade'						phylogenomics-based group; Ulotrichales and Ulvales form a well-supported clade
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;'UU clade';Ulotrichales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'core chlorophytes';Ulvophyceae;'UU clade';Ulvales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Chloropicophyceae	class		Lopes dos Santos & Eikrem 2017			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Chloropicophyceae;Chloroparvula	genus				prasinophytes VII A	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Chloropicophyceae;Chloropicon	genus				prasinophytes VII B	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae	class		Marin & Melkonian 2010		prasinophytes II	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Crustomastigaceae	family					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Crustomastigaceae;Crustomastix	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Crustomastigaceae;'K9OCT2009 clade'	genus	true				entirely environmental lineage so far
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Dolichomastigaceae	family					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Dolichomastigaceae;Dolichomastix	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Dolichomastigaceae;Microrhizoidea	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;'DSGM-81 clade'					Dolichomastigaceae B	entirely environmental lineage so far
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae	family					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae	family					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mamiella	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Throndsenia	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Monomastigales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Monomastigales;Monomastix	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;'RCC-1651 clade'	genus	true				
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Nephroselmis	genus				Nephroselmidophyceae; prasinophytes III	single genus Nephroselmis in class Nephroselmidophyceae
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Picocystis	genus				Picocystophyceae; prasinophytes VII C	single genus Picocystis in class Picocystophyceae Lopes dos Santos & Eikrem 2017
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pycnococcaceae	family		Fawley 1999		Pseudoscourfieldiales; prasinophytes V	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pycnococcaceae;Pseudoscourfieldia	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pycnococcaceae;Pycnococcus	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales	order		Chadefaud 1950		prasinophytes I	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales;Cymbomonas	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales;Halosphaera	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales;Prasinopapilla	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales;Pterosperma	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales;Pyramimonas	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales;Pyramimonas;'Punctatae clade'						deep genetic divergence within genus Pyramimonas
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales;Pyramimonas;'Pyramimonas clade'						deep genetic divergence within genus Pyramimonas
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales;Pyramimonas;'Trichocystis clade'						deep genetic divergence within genus Pyramimonas
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadales;Pyramimonas;'Vestigifera clade'						deep genetic divergence within genus Pyramimonas
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta;'prasinophyte clade IX'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae	class		Leliaert et al. 2016		Prasinodermophyta	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae;Palmophyllales	order		Zechman et al. 2010			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae;Palmophyllales;Palmoclathrus	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae;Palmophyllales;Palmophyllum	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae;Palmophyllales;Verdigellas	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae;Prasinococcus	genus				Prasinococcales pro parte; prasinophytes VI pro parte	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae;'Prasinoderma clade'					Prasinococcales pro parte; prasinophytes VI pro parte	18S-based group; Prasinoderma and related environmental lineages
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae;'Prasinoderma clade';Prasinoderma	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae;'Prasinoderma clade';'MBIC-10622 lineage'	genus	true				entirely environmental lineage so far
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta			Bremer & Wanntorp 1981			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes'						phylogenomics-based group; all streptophytes except genera Chlorokybus, Mesostigma, Spirotaenia, and Streptofilum form a well-supported clade
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Klebsormidiophyceae			van den Hoek et al. 1995			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Klebsormidiophyceae;Entransia	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Klebsormidiophyceae;'HS clade'						18S-based group; Hormidiella and Streptosarcina form a well-supported clade
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Klebsormidiophyceae;'HS clade';Hormidiella	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Klebsormidiophyceae;'HS clade';Streptosarcina	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Klebsormidiophyceae;Klebsormidiaceae	family					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Klebsormidiophyceae;Klebsormidiaceae;Interfilum	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Klebsormidiophyceae;Klebsormidiaceae;Klebsormidium	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta			Lecointre & Guyander 2006			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Charophyceae			Karol et al. 2009			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Charophyceae;Chara	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Charophyceae;Lamprothamnium	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Charophyceae;Lychnothamnus	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Charophyceae;Nitella	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Charophyceae;Nitellopsis	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Charophyceae;Tolypella	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Coleochaetophyceae			Jeffrey 1982			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Coleochaetophyceae;Chaetosphaeridium	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Coleochaetophyceae;Coleochaete	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae			Hall et al. 2009			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Spirogloea	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae						
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales	order					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade'						18S-based group; desmids and peniids form a well-supported clade
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Actinotaenium	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Bambusina	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Cosmarium	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Cosmocladium	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Desmidium	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Euastrum	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Groenbladia	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Haplotaenium	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Heimansia	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Hyalotheca	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Micrasterias	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Onychonema	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Penium	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Phymatodocis	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Pleurotaenium	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Sphaerozosma	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Spondylosium	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Staurastrum	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Staurodesmus	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Tetmemorus	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Triploceras	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;'DP clade';Xanthidium	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;Gonatozygon	genus				Gonatozygaceae	single genus Gonatozygon in family Gonatozygaceae
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Desmidiales;Closterium	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae	family					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae;'CMZ clade'						18S-based group; Cylindrocystis, Mougeotia, Zygnemopsis, and related taxa
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae;'CMZ clade';Cylindrocystis	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae;'CMZ clade';Mougeotia	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae;'CMZ clade';Zygnemopsis	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae;Ancylonema	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae;Fottea	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae;Zygnema	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae;Zygogonium	genus					
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Zygnemataceae;'M2155 lineage'	genus	true	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Mesotaenium	genus		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Netrium	genus		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Nucleotaenium	genus		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Planotaenium	genus		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Roya	genus		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Zygnematophyceae;Zygnematophycidae;Spirogyra	genus		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta			Lewis & McCourt 2004
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Anthocerotophyta			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Anthocerotophyta;Anthocerotopsida			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Anthocerotophyta;Leiosporoceros	genus		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Bryophyta			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Bryophyta;Bryophytina			
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Bryophyta;Sphagnales	order		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Bryophyta;Andreaea	genus		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Bryophyta;Andreaeobryum	genus		
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Bryophyta;Takakia	genus
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Marchantiophyta	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Marchantiophyta;Haplomitriopsida	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Marchantiophyta;Jungermanniopsida	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Marchantiophyta;Marchantiopsida	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Tracheophyta	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Tracheophyta;Euphyllophyta	
Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta;'core streptophytes';Phragmoplastophyta;Embryophyta;Tracheophyta;Euphyllophyta;Polypodiopsida	
