taxon	taxon rank	candidate	taxon author	synonyms	alternative names	remarks
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Dermamoebida;Dermamoebidae;Dermamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Dermamoebida;Dermamoebidae;Paradermamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Dermamoebida;Mayorella	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae	family					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae;'IAFDv98 lineage'						entirely environmental lineage so far
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae;'LEMD255 lineage'						entirely environmental lineage so far
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae;'LKM74 lineage'						18S-based group
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae;'LKM74 lineage';Mycamoeba	genus		Blandenier et al. 2017			
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Stygamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida	order		Smirnov et al. 2011			
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida;Sappinia	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida;Stenamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida;Stratorugosa	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida;Thecamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Vermistella	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'JAMX8 lineage'	genus	true				
Eukaryota;Amorphea;Amoebozoa;Evosea			Kang et al. 2017			
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea						
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Tricholimax	genus		Frenzel 1897			no genetic data yet for this genus
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae	family					
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba	genus		Casagrandi & Barbagallo 1895			
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'core entamoebids'						
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'Ecoli lineage'						
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'Egingivalis lineage'						
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'Emarina lineage'						
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'Epolecki lineage'						
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Endamoeba	genus					no genetic data yet for this genus
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida	order					
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;Mastigamoeba	genus		Schulze, 1875			polyphyletic genus; type species not yet sequenced
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids A'	genus	true				candidate genus (unless it contains the type species of Mastigamoeba)
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B'						18S-based group
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'EI lineage'						18S-based group; Endolimax and Iodamoeba form a well-supported clade
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'EI lineage';Endolimax	genus		Kuenen & Swellengrebel 1917			
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'EI lineage';Iodamoeba	genus		Dobell 1919			
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'Mlenta lineage'	genus	true				candidate genus (unless it contains the type species of Mastigamoeba)
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'Msimplex lineage'	genus	true				candidate genus (unless it contains the type species of Mastigamoeba)
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;Mastigina	genus		Frenzel 1897			no genetic data yet for this genus
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Pelobiontida	order					
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Pelobiontida;Mastigella	genus		Frenzel 1897			
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Pelobiontida;Pelomyxa	genus		Greeff 1874			
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Rhizomastix	genus		Alexeieff 1911		Rhizomastixidae	single genus Rhizomastix in family Rhizomastixidae Ptácková et al. 2013
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Rhizomastix;'Relongata clade'						deep genetic divergence within genus Rhizomastix
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Rhizomastix;'Rlibera clade'						deep genetic divergence within genus Rhizomastix
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea	class		Cavalier-Smith et al. 2016			
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea;Armaparvus	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea;Idionectes	genus		Hess et Simpson 2019			
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea;Sapocribrum	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea;Squamamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa			Kang et al. 2017			
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia			Sheikh et al. 2018			
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales	order					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae	family					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;Acytostelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;Heterostelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;Rostrostelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Cavenderia	genus				Cavenderiaceae	single genus Cavenderia in family Cavenderiaceae
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales	order					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Coremiostelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae	family					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Polysphondylium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae	family					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae;Hagiwaraea	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae;Raperostelium	genus					
